"","1","2","3","4","5","6","7","8","9"
"Threshold",0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
"Accuracy",0.859375,0.890625,0.90625,0.921875,0.90625,0.90625,0.90625,0.90625,0.890625
"Sensitivity",0.846153846153846,0.846153846153846,0.769230769230769,0.769230769230769,0.615384615384615,0.615384615384615,0.538461538461538,0.538461538461538,0.461538461538462
"Specificity",0.862745098039216,0.901960784313726,0.941176470588235,0.96078431372549,0.980392156862745,0.980392156862745,1,1,1
"MCC",0.634345590530533,0.695095220462856,0.710407239819005,0.752482323830674,0.689505495524876,0.689505495524876,0.694104730223198,0.694104730223198,0.637052230014603
