"","V1","V2","V3","V4","V5","V6"
"1",2000,1,0.949308755760369,0.972350230414747,0.926267281105991,0.899573203192881
"2",2010,1,0.951612903225806,0.972350230414747,0.930875576036866,0.904003650661014
"3",2020,1,0.951612903225806,0.972350230414747,0.930875576036866,0.904003650661014
"4",2030,1,0.949308755760369,0.972350230414747,0.926267281105991,0.899573203192881
"5",2040,1,0.949308755760369,0.972350230414747,0.926267281105991,0.899573203192881
"6",2050,1,0.942396313364055,0.963133640552995,0.921658986175115,0.885554596565892
"7",2060,1,0.940092165898618,0.963133640552995,0.91705069124424,0.881120419537643
"8",2070,1,0.940092165898618,0.963133640552995,0.91705069124424,0.881120419537643
"9",2080,1,0.940092165898618,0.963133640552995,0.91705069124424,0.881120419537643
"10",2090,1,0.93778801843318,0.963133640552995,0.912442396313364,0.876703150581474
"11",2100,1,0.944700460829493,0.967741935483871,0.921658986175115,0.890346811365262
"12",2110,1,0.944700460829493,0.967741935483871,0.921658986175115,0.890346811365262
"13",2120,1,0.944700460829493,0.967741935483871,0.921658986175115,0.890346811365262
"14",2130,1,0.940092165898618,0.963133640552995,0.91705069124424,0.881120419537643
"15",2140,1,0.93778801843318,0.95852534562212,0.91705069124424,0.87633006951833
"16",2150,1,0.940092165898618,0.95852534562212,0.921658986175115,0.880783083989468
"17",2160,1,0.940092165898618,0.95852534562212,0.921658986175115,0.880783083989468
"18",2170,1,0.940092165898618,0.95852534562212,0.921658986175115,0.880783083989468
"19",2180,1,0.93778801843318,0.95852534562212,0.91705069124424,0.87633006951833
"20",2190,1,0.935483870967742,0.95852534562212,0.912442396313364,0.871894027710023
"21",2200,1,0.940092165898618,0.95852534562212,0.921658986175115,0.880783083989468
"22",2210,1,0.942396313364055,0.95852534562212,0.926267281105991,0.885253336275981
"23",2220,1,0.944700460829493,0.95852534562212,0.930875576036866,0.889741094562289
"24",2230,1,0.944700460829493,0.95852534562212,0.930875576036866,0.889741094562289
"25",2240,1,0.942396313364055,0.95852534562212,0.926267281105991,0.885253336275981
"26",2250,1,0.949308755760369,0.95852534562212,0.940092165898618,0.898770217516108
"27",2260,1,0.942396313364055,0.95852534562212,0.926267281105991,0.885253336275981
"28",2270,1,0.944700460829493,0.953917050691244,0.935483870967742,0.88955206143902
"29",2280,1,0.944700460829493,0.953917050691244,0.935483870967742,0.88955206143902
"30",2290,1,0.93778801843318,0.95852534562212,0.91705069124424,0.87633006951833
"31",2300,1,0.940092165898618,0.95852534562212,0.921658986175115,0.880783083989468
"32",2310,1,0.940092165898618,0.95852534562212,0.921658986175115,0.880783083989468
"33",2320,1,0.93778801843318,0.953917050691244,0.921658986175115,0.87603194735644
"34",2330,1,0.935483870967742,0.949308755760369,0.921658986175115,0.871300864623174
"35",2340,1,0.935483870967742,0.949308755760369,0.921658986175115,0.871300864623174
"36",2350,1,0.935483870967742,0.949308755760369,0.921658986175115,0.871300864623174
"37",2360,1,0.93778801843318,0.949308755760369,0.926267281105991,0.875808555296871
"38",2370,1,0.93778801843318,0.949308755760369,0.926267281105991,0.875808555296871
"39",2380,1,0.935483870967742,0.949308755760369,0.921658986175115,0.871300864623174
"40",2390,1,0.935483870967742,0.949308755760369,0.921658986175115,0.871300864623174
"41",2400,1,0.933179723502304,0.944700460829493,0.921658986175115,0.866589517872693
"42",2410,1,0.935483870967742,0.944700460829493,0.926267281105991,0.871115749284843
"43",2420,1,0.935483870967742,0.944700460829493,0.926267281105991,0.871115749284843
"44",2430,1,0.935483870967742,0.944700460829493,0.926267281105991,0.871115749284843
"45",2440,1,0.935483870967742,0.944700460829493,0.926267281105991,0.871115749284843
"46",2450,1,0.935483870967742,0.944700460829493,0.926267281105991,0.871115749284843
"47",2460,1,0.935483870967742,0.944700460829493,0.926267281105991,0.871115749284843
"48",2470,1,0.935483870967742,0.944700460829493,0.926267281105991,0.871115749284843
"49",2480,1,0.93778801843318,0.949308755760369,0.926267281105991,0.875808555296871
"50",2490,1,0.93778801843318,0.949308755760369,0.926267281105991,0.875808555296871
"51",2500,1,0.935483870967742,0.944700460829493,0.926267281105991,0.871115749284843
